country	lgdp	colony	tropics	col_trop	inst
"Mali"	6.274762	1	1	1	.3733333
"Uganda"	6.317165	1	1	1	.48
"Senegal"	7.04316	1	1	1	.4866667
"Malawi"	6.251904	1	1	1	.58
"Guinea"	6.642487	1	1	1	.56
"Mozambique"	6.633318	1	1	1	.58
"Zambia"	6.535241	1	1	1	.4866667
"Bangladesh"	7.237059	0	0	0	.5133333
"Congo, Republic of"	7.7012	1	1	1	.5266666
"Cote d'Ivoire"	7.100852	1	1	1	.6266667
"Pakistan"	7.239933	1	0	0	.5866666
"Togo"	6.463029	1	1	1	.4933333
"Guinea-Bissau"	6.535241	1	1	1	.3466667
"Panama"	7.968319	1	1	1	.5533333
"Honduras"	7.227663	1	1	1	.5133333
"Burkina Faso"	6.23637	1	1	1	.52
"Nigeria"	6.902743	1	1	1	.5266666
"Guatemala"	7.662468	1	1	1	.5133333
"Madagascar"	6.514713	1	1	1	.48
"Sudan"	6.629363	1	1	1	.38
"Sierra Leone"	6.803505	1	1	1	.2933333
"Yugoslavia"	8.422442	0	0	0	.4933333
"Czech Republic"	8.317522	0	0	0	.8466667
"Chile"	8.375169	1	0	0	.7466667
"United States"	9.801123	1	0	0	.9466667
"Turkey"	8.227108	0	0	0	.74
"Thailand"	8.183118	0	1	0	.7733333
"India"	7.142036	1	1	1	.7266667
"Belgium"	9.490394	0	0	0	.9133334
"Finland"	9.551018	0	0	0	1
"Portugal"	8.919721	0	0	0	.88
"Mongolia"	7.518607	0	0	0	.6666667
"Argentina"	8.456594	1	0	0	.7266667
"Italy"	9.432524	0	0	0	.8133333
"Hong Kong"	9.565214	0	1	0	.9333333
"Brazil"	8.304495	1	1	1	.6933333
"Iceland"	9.50017	0	0	0	1
"Ghana"	6.804615	1	1	1	.6533333
"Denmark"	9.540292	0	0	0	1
"South Africa"	8.085794	1	0	0	.86
"Bulgaria"	8.732788	0	0	0	.74
"Israel"	9.137554	1	0	0	.88
"Austria"	9.448963	0	0	0	.9666666
"Jamaica"	7.841886	1	1	1	.6933333
"Norway"	9.609251	0	0	0	1
"Morocco"	7.673688	1	0	0	.74
"Paraguay"	7.662938	1	1	1	.64
"Sri Lanka"	7.647786	1	1	1	.62
"Malaysia"	8.541691	1	1	1	.74
"Netherlands"	9.474933	1	0	0	1
"Australia"	9.578104	1	0	0	.9666666
"Venezuela"	8.70864	1	1	1	.6533333
"Spain"	9.167746	0	0	0	.8133333
"Indonesia"	7.587817	1	1	1	.7133333
"Jordan"	8.004031	1	0	0	.7733333
"Kenya"	6.814543	1	1	1	.6866667
"Colombia"	8.101678	1	1	1	.66
"Poland"	8.248006	0	0	0	.88
"Korea, Rep."	8.805825	0	0	0	.9
"Canada"	9.751094	1	0	0	.98
"El Salvador"	7.508787	1	1	1	.6066667
"Germany"	9.570878	0	0	0	1
"Peru"	7.690743	1	1	1	.6266667
"Gabon"	8.283494	1	1	1	.6066667
"Luxembourg"	9.697693	0	0	0	1
"Egypt"	7.555905	1	0	0	.7466667
"France"	9.539932	0	0	0	.9333333
"Greece"	8.819961	0	0	0	.82
"Ecuador"	7.921173	1	1	1	.6533333
"Japan"	9.57018	0	0	0	.9666666
"Hungary"	8.58616	0	0	0	.9133334
"United Kingdom"	9.489259	0	0	0	.9466667
"Cyprus"	9.03217	1	0	0	.88
"Cameroon"	7.111512	1	1	1	.6333333
"Mexico"	8.670258	1	1	1	.64
"Iran"	8.129175	0	0	0	.7333333
"Guyana"	6.997596	1	1	1	.6733333
"Costa Rica"	8.160233	1	1	1	.74
"Switzerland"	9.711419	0	0	0	1
"Namibia"	7.956477	0	1	0	.7933334
"China"	7.188413	0	0	0	.78
"Philippines"	7.474772	1	1	1	.64
"New Zealand"	9.351233	1	0	0	1
"Trinidad and Tobago"	8.957253	1	1	1	.6533333
"Nicaragua"	7.165493	1	1	1	.6666667
"Singapore"	9.368198	1	1	1	.9
"Sweden"	9.599812	0	0	0	.98
"Papua New Guinea"	7.261927	1	1	1	.6333333
"Gambia, The"	6.683361	1	1	1	.6466666
"Bolivia"	7.413367	1	1	1	.6066667
"Tunisia"	7.975908	1	0	0	.6733333
"Algeria"	7.929126	1	0	0	.6066667
"Syria"	8.267962	1	0	0	.7066666
"Ireland"	9.13497	1	0	0	.9666666
"Dominican Republic"	7.680637	0	1	0	.6333333
"Zimbabwe"	7.074963	1	1	1	.66
"Uruguay"	8.434246	1	0	0	.6266667
