p,q,stormy,mixed,cold,rainy,mon,tue,wed,thu
-.4307829,8.994421,1,0,0,1,1,0,0,0
0,7.707063,1,0,0,0,0,1,0,0
.0723207,8.350194,0,1,1,1,0,0,1,0
.247139,8.656955,1,0,1,0,0,0,0,1
.6643268,7.844241,1,0,1,0,0,0,0,0
-.2065143,9.301277,0,0,0,0,1,0,0,0
-.1158318,8.920656,0,1,0,0,0,1,0,0
-.2598674,9.105979,0,0,0,1,0,0,1,0
-.1171254,8.307706,0,1,0,0,0,0,0,1
-.3420761,9.20954,0,0,0,0,0,0,0,0
-.1255632,8.552561,1,0,1,0,1,0,0,0
.027399,8.523175,1,0,1,0,0,1,0,0
-.0712275,8.865453,1,0,1,0,0,0,1,0
.1230601,9.186355,1,0,1,0,0,0,0,1
.2130932,8.699348,1,0,1,0,0,0,0,0
-.3172045,9.408863,0,1,1,0,1,0,0,0
-.1088388,8.150179,0,1,1,0,0,1,0,0
.2231435,6.703188,0,1,1,0,0,0,0,1
.2464593,8.798907,0,0,1,0,0,0,0,0
-.075431,9.565214,0,0,1,1,1,0,0,0
.2055992,8.297792,0,0,1,1,0,1,0,0
.2188098,8.320935,0,0,0,0,0,0,0,1
.307025,8.884887,0,0,0,0,0,0,0,0
.399592,9.336444,1,0,0,0,1,0,0,0
.4969802,8.122668,1,0,1,0,0,1,0,0
.3968258,8.15191,1,0,1,0,0,0,1,0
.2830518,9.51834,0,1,1,0,0,0,0,1
.2263384,8.567886,0,1,0,1,0,0,0,0
-.0723207,9.386811,0,1,0,0,1,0,0,0
-.1545295,8.628735,0,1,0,0,0,1,0,0
.2363888,7.727535,1,0,1,1,0,0,1,0
.1718503,8.453188,1,0,1,0,0,0,0,1
.1541506,7.156956,1,0,1,1,0,0,0,0
.0350913,6.363028,1,0,1,0,1,0,0,0
.218131,7.313221,0,1,1,1,0,1,0,0
-.0624355,8.39163,0,0,1,0,0,0,1,0
-.4418328,9.188503,0,0,0,0,0,0,0,1
-.7699343,9.318297,0,0,0,1,0,0,0,0
-.7391911,8.363809,1,0,1,1,1,0,0,0
-.7230001,8.621193,0,1,1,0,0,1,0,0
-.5184302,8.144679,0,0,1,0,0,0,1,0
-.5533853,8.710784,0,0,1,0,0,0,0,1
-.5590724,8.417373,0,0,0,0,0,0,0,0
-.4238143,9.017968,1,0,1,0,1,0,0,0
-.7731899,7.528332,1,0,1,0,0,1,0,0
-.2040953,7.154615,1,0,1,0,0,0,1,0
.3841877,8.487764,1,0,1,0,0,0,0,1
.3479887,8.979543,0,1,1,0,0,0,0,0
.3229889,8.744328,1,0,1,0,1,0,0,0
.4345259,7.893572,1,0,1,0,0,1,0,0
.2000211,8.5923,1,0,1,0,0,0,1,0
-.0071685,9.035987,0,1,1,0,0,0,0,1
-.4744579,9.525735,0,1,1,0,0,0,0,0
-.7711087,9.773094,0,0,1,0,0,1,0,0
-1.094774,8.158802,0,1,0,0,0,0,1,0
-.8602012,8.677609,0,0,0,0,0,0,0,1
-.597837,9.034796,0,1,0,0,0,0,0,0
-.567984,8.375629,0,0,1,0,1,0,0,0
-.7711087,7.649693,0,0,1,0,0,1,0,0
-.2724146,7.853605,0,1,1,0,0,0,1,0
.1849223,7.955074,1,0,1,1,0,0,0,1
.20676,8.73069,1,0,0,0,0,0,0,0
.074108,8.633197,0,1,0,0,1,0,0,0
-.0071685,8.796339,1,0,1,0,0,1,0,0
-.2548923,8.994048,0,1,0,0,0,0,1,0
-.2364898,9.22375,0,1,0,0,0,0,0,1
-.4848501,8.568457,0,0,0,0,0,0,0,0
-.8119307,9.981374,0,1,0,0,1,0,0,0
-.4780358,9.172119,0,1,0,0,0,1,0,0
-.2301122,8.116715,0,1,1,0,0,0,1,0
-.2887938,9.241354,1,0,1,1,0,0,0,1
-.3409266,8.016318,1,0,1,0,0,0,0,0
-.4812668,9.646011,0,0,1,0,1,0,0,0
-.5817336,9.168476,0,0,1,0,0,1,0,0
-.0370413,7.44132,0,1,1,0,0,0,1,0
.0746435,8.61432,0,0,1,0,0,0,0,1
-.5268259,8.902047,1,0,1,1,0,0,0,0
-.1123292,7.857481,0,0,1,0,1,0,0,0
-.2376716,8.228177,0,1,1,0,0,1,0,0
-.4243931,7.986165,0,1,1,0,0,0,1,0
-.4828126,9.395989,0,1,0,0,0,0,0,1
-.1923718,7.711997,0,1,0,0,0,0,0,0
.1823216,7.705263,1,0,0,0,1,0,0,0
.2876821,7.013916,1,0,0,0,0,1,0,0
-.1873341,8.492901,0,1,0,1,0,0,1,0
-.4404448,9.333443,0,0,0,0,0,0,0,1
-.567984,9.578795,0,0,1,1,0,0,0,0
-.3873608,8.975504,0,0,0,0,1,0,0,0
