gvkey	year	gvkey	conm	year	Y	K	L	M	VA	w	i	naics_4digit
001056	1999	001056	AEROFLEX INC	1999	92.72775564409031	51.51939613244621	1.1	50.190880920761394	42.536874723328914	23840.047218533273	10.48847926267281	3344
001056	2000	001056	AEROFLEX INC	2000	122.68567092282821	106.64483214713105	1.18	68.55450196311328	54.13116895971493	28345.375960935697	8.175872504902351	3344
001056	2001	001056	AEROFLEX INC	2001	172.10106894155564	111.64529652602417	1.25	99.45277732601977	72.64829161553587	31764.418883155668	15.032798009500112	3344
001056	2002	001056	AEROFLEX INC	2002	156.51038850699004	128.0984189533375	2.03	72.15887078087587	84.35151772611415	34059.6277129837	6.828936966228329	3344
001056	2003	001056	AEROFLEX INC	2003	237.22915565673398	146.03095887499558	1.86	143.8304321313874	93.39872352534657	37331.59884548152	7.077532603312607	3344
001056	2004	001056	AEROFLEX INC	2004	349.608685741302	148.49308755760367	2.398	200.2746561753358	149.3340295659662	40407.10191055915	12.080391327454745	3344
001056	2005	001056	AEROFLEX INC	2005	405.1118629842369	152.3060879815921	2.64	236.6401063113629	168.471756672874	43090.198546961474	16.548308232878597	3344
001056	2006	001056	AEROFLEX INC	2006	501.00410356974254	171.05969334921892	2.675	305.34987017467404	195.65423339506847	46689.000254203434	16.082718240991625	3344
001072	1998	001072	AVX CORP	1998	585.7791555918504	870.2359181873597	13.0	194.06979344925702	391.7093621425934	20045.981077018307	110.93478799900818	3344
001072	1999	001072	AVX CORP	1999	748.2089420097388	941.8558001640068	13.5	265.4959421572967	482.71299985244207	23840.047218533273	115.63824884792626	3344
001072	2000	001072	AVX CORP	2000	821.8502754957274	1060.2569754991496	15.1	298.7062588670032	523.1440166287241	28345.375960935697	110.75909910114143	3344
001072	2001	001072	AVX CORP	2001	1205.1635938909176	1184.0564807383628	18.0	399.65403551310663	805.5095583778109	31764.418883155668	195.00226193168965	3344
001072	2002	001072	AVX CORP	2002	2014.453541360933	1269.2954955858747	18.0	664.1978836796169	1350.255657681316	34059.6277129837	253.1394403678919	3344
001072	2003	001072	AVX CORP	2003	1016.2852148461319	1414.987051560563	12.9	398.1288670271148	618.1563478190171	37331.59884548152	83.02976943817751	3344
001072	2004	001072	AVX CORP	2004	957.483937963815	1444.0386371281659	12.8	358.3359646086436	599.1479733551714	40407.10191055915	41.49068861918242	3344
001072	2005	001072	AVX CORP	2005	993.676397303748	1580.7535201114904	13.15	369.3777375613083	624.2986597424397	43090.198546961474	35.678982293860535	3344
001072	2006	001072	AVX CORP	2006	1164.9798452990522	1723.34032917265	12.0	467.3121618186439	697.6676834804083	46689.000254203434	50.166619950792615	3344
001072	2007	001072	AVX CORP	2007	1262.4358464481186	1887.7696127608347	12.1	496.983220650342	765.4526257977766	50649.58430392213	41.921609997565525	3344
001072	2008	001072	AVX CORP	2008	1473.5043659534297	1852.502365482874	13.0	545.963459723096	927.5409062303336	53492.76274386406	51.54748775423013	3344
001072	2009	001072	AVX CORP	2009	1619.275	2321.451779756094	14.0	631.5710000000001	987.704	54873.0	70.886	3344
001072	2011	001072	AVX CORP	2011	1343.4006938510793	2216.365366317793	10.6	463.3525154675259	880.0481783835534	60953.890816253	27.932701605105397	3344
001072	2012	001072	AVX CORP	2012	1700.3959968320253	1953.6831891323684	11.2	611.483702416095	1088.9122944159303	62223.95935118233	26.063360437204093	3344
001072	2013	001072	AVX CORP	2013	1585.2335911692894	1971.2433627125954	10.8	577.475327766265	1007.7582634030244	62682.861773938734	46.17730975710478	3344
