gvkey	year	gvkey	year	Y	K	L	M	VA	i	naics_4digit
001013	1998	001013	1998	717.6366558649281	506.2984190968067	8.032	405.4333362808384	312.20331958408974	111.63732539879331	3342
001013	1999	001013	1999	1137.345137966652	600.082764847512	13.457	572.3277633171018	565.01737464955	121.4320276497696	3342
001013	2000	001013	2000	2169.5865914414862	737.572566491157	22.452	1090.9973196080373	1078.5892718334487	425.39927229860695	3342
001013	2001	001013	2001	1776.246728861422	1266.3991542121196	12.042	1434.8413604979523	341.4053683634698	272.78896177335446	3342
001013	2002	001013	2002	809.2222136402256	1194.0774326095427	7.6	698.9748976596896	110.24731598053597	28.504938257858345	3342
001013	2003	001013	2003	628.643440790276	665.5529953917052	5.7	399.6738078783691	228.96963291190696	76.48709624167722	3342
001013	2004	001013	2004	662.1526927655406	645.852534562212	7.5	293.07833883509073	369.0743539304499	11.171487760170935	3342
001013	2005	001013	2005	1022.1977426320806	648.2235840034006	8.2	529.8490133850903	492.3487292469903	31.962068856033106	3342
001013	2006	001013	2006	1163.7977993245452	659.331797235023	8.6	634.8075316846425	528.9902676399026	34.56974679996262	3342
001013	2007	001013	2007	1252.0121962767269	653.2310168550151	9.05	634.6462795674487	617.365916709278	32.96681003002516	3342
001013	2008	001013	2008	1432.1113908118314	673.0377742592174	10.6	694.6782567652613	737.4331340465701	42.127435492364405	3342
001013	2009	001013	2009	996.7	643.5921421889616	9.05	415.39935	581.30065	32.0	3342
001013	2010	001013	2010	1170.0082950614037	631.8164309690201	9.3	506.0070406862644	664.0012543751392	29.018407935646252	3342
001021	1998	001021	1998	17.566956042298433	10.532809871003925	0.174	13.372074297930332	4.194881744368099	0.5667528603308419	3345
001021	1999	001021	1999	17.33510402833112	10.933667556130562	0.135	14.273109045300279	3.0619949830308406	0.1947004608294931	3345
001021	2000	001021	2000	16.73892243228084	10.829896768281177	0.123	12.809008545316573	3.9299138869642696	0.1575552860365211	3345
001021	2001	001021	2001	17.77946981681624	10.460033980519563	0.106	14.130790839333498	3.648678977482739	0.2295860665007917	3345
001021	2002	001021	2002	15.514791071290647	4.231277949234742	0.094	11.764024098246699	3.7507669730439472	0.03785812112371812	3345
001021	2003	001021	2003	14.670515061587869	2.6510548989285323	0.09	11.143997723484697	3.5265173381031722	0.2432179607109448	3345
001021	2004	001021	2004	16.744197826876153	2.4027959807776322	0.083	12.027773603383789	4.716424223492363	0.11713792991247193	3345
001021	2005	001021	2005	20.226261354595607	1.806910471430631	0.084	14.984037558685445	5.242223795910163	0.18732735720257812	3345
001021	2006	001021	2006	22.694919562770092	1.9163331089936595	0.083	17.68308003776737	5.0118395250027215	0.2128167595793495	3345
001021	2007	001021	2007	27.195424502395696	2.1059907834101383	0.115	21.779789974054502	5.415634528341194	0.2546052097703481	3345
001021	2008	001021	2008	33.70830711139081	2.421397873784212	0.122	29.857811516677156	3.8504955947136534	0.20070146154381155	3345
001034	1998	001034	1998	909.5181502264076	488.72790166862774	3.0	597.8818467648517	311.6363034615559	37.18918150141039	3254
001034	1999	001034	1999	1097.901458486352	567.1227774942412	3.3	713.4931722452897	384.40828624106246	39.68169948479074	3254
001034	2000	001034	2000	1286.8118053769892	558.0031230397586	3.5	799.8557184080455	486.9560869689438	82.71905264607335	3254
001034	2001	001034	2001	1373.0513033559128	694.2747350851997	4.9	846.1475305947134	526.9037727611992	97.56452074391989	3254
001034	2002	001034	2002	1739.7404726902635	847.8193467123671	4.7	1182.0678785480043	557.6725941422593	84.7729966268575	3254
001034	2003	001034	2003	1756.2918838421447	899.7831085405458	4.7	1253.9792865362488	502.3125973058961	48.124978827674205	3254
001034	2004	001034	2004	1711.970552899977	964.4819494156969	4.2	1258.4478924362875	453.52266046368953	54.69450237387407	3254
001034	2005	001034	2005	646.4769489467046	984.3162585630645	1.4	375.4428044280442	271.03414451866036	41.9890873015873	3254
001034	2006	001034	2006	720.8846942600719	458.7862027814752	1.4	488.3417495424376	232.54294471763433	38.138970898355126	3254
001034	2007	001034	2007	773.5157128325927	511.290910748473	2.0	615.2695540446491	158.24615878794367	62.01145949713512	3254
001050	1998	001050	1998	33.27909176915799	4.535039027558235	0.093	26.54414758751183	6.734944181646165	0.2807058412439578	3334
001050	2002	001050	2002	96.07078913072604	19.74881211050357	0.506	64.68572159360802	31.38506753711801	0.2674571511355785	3334
001050	2003	001050	2003	82.4610433604336	20.50899772872867	0.432	55.370799457994586	27.09024390243902	0.12465497284302378	3334
001050	2004	001050	2004	82.09868506704855	18.462159667743425	0.436	54.63375270738896	27.4649323596596	0.5170279655168636	3334
001050	2005	001050	2005	92.8622689008623	19.006691278264885	0.446	62.46368824541219	30.398580655450118	0.7062720376108559	3334
001050	2006	001050	2006	149.65559941181024	19.4820027688048	0.651	104.59608721129501	45.05951220051523	0.9420898027696182	3334
001050	2007	001050	2007	252.79143766271335	20.421089063221043	0.701	197.39145587589326	55.39998178682009	1.7352778290566733	3334
001050	2008	001050	2008	223.5319463252493	22.120660203400565	0.845	164.70823587344577	58.82371045180352	2.2474268012391327	3334
001050	2009	001050	2009	138.985	26.868299641161656	0.66	98.96982	40.015180000000015	0.999	3334
001050	2010	001050	2010	140.29335461983638	27.48025544686771	0.556	101.99515465974855	38.298199960087814	0.6475247524752475	3334
001050	2011	001050	2011	135.58146557182238	19.202906293407416	0.524	91.9503229011426	43.63114267067979	0.8849214426254931	3334
001050	2012	001050	2012	128.45457312433422	16.681269366385298	0.452	85.38921777507231	43.0653553492619	0.2591977213387135	3334
001050	2013	001050	2013	184.91823251019164	16.23677743348648	0.783	116.04998266248067	68.86824984771097	1.2966834284422848	3334
001050	2014	001050	2014	242.78203602756022	34.84298402149611	0.853	160.3977900144811	82.3842460130791	1.0657012703233213	3334
001056	1999	001056	1999	92.72775564409031	51.51939613244621	1.1	50.190880920761394	42.536874723328914	10.48847926267281	3344
001056	2000	001056	2000	122.68567092282821	106.64483214713105	1.18	68.55450196311328	54.13116895971493	8.175872504902351	3344
001056	2001	001056	2001	172.10106894155564	111.64529652602417	1.25	99.45277732601977	72.64829161553587	15.032798009500112	3344
001056	2002	001056	2002	156.51038850699004	128.0984189533375	2.03	72.15887078087587	84.35151772611415	6.828936966228329	3344
001056	2003	001056	2003	237.22915565673398	146.03095887499558	1.86	143.8304321313874	93.39872352534657	7.077532603312607	3344
001056	2004	001056	2004	349.608685741302	148.49308755760367	2.398	200.2746561753358	149.3340295659662	12.080391327454745	3344
001056	2005	001056	2005	405.1118629842369	152.3060879815921	2.64	236.6401063113629	168.471756672874	16.548308232878597	3344
001056	2006	001056	2006	501.00410356974254	171.05969334921892	2.675	305.34987017467404	195.65423339506847	16.082718240991625	3344
001072	1998	001072	1998	585.7791555918504	870.2359181873597	13.0	194.06979344925702	391.7093621425934	110.93478799900818	3344
001072	1999	001072	1999	748.2089420097388	941.8558001640068	13.5	265.4959421572967	482.71299985244207	115.63824884792626	3344
001072	2000	001072	2000	821.8502754957274	1060.2569754991496	15.1	298.7062588670032	523.1440166287241	110.75909910114143	3344
001072	2001	001072	2001	1205.1635938909176	1184.0564807383628	18.0	399.65403551310663	805.5095583778109	195.00226193168965	3344
001072	2002	001072	2002	2014.453541360933	1269.2954955858747	18.0	664.1978836796169	1350.255657681316	253.1394403678919	3344
001072	2003	001072	2003	1016.2852148461319	1414.987051560563	12.9	398.1288670271148	618.1563478190171	83.02976943817751	3344
001072	2004	001072	2004	957.483937963815	1444.0386371281659	12.8	358.3359646086436	599.1479733551714	41.49068861918242	3344
001072	2005	001072	2005	993.676397303748	1580.7535201114904	13.15	369.3777375613083	624.2986597424397	35.678982293860535	3344
001072	2006	001072	2006	1164.9798452990522	1723.34032917265	12.0	467.3121618186439	697.6676834804083	50.166619950792615	3344
001072	2007	001072	2007	1262.4358464481186	1887.7696127608347	12.1	496.983220650342	765.4526257977766	41.921609997565525	3344
001072	2008	001072	2008	1473.5043659534297	1852.502365482874	13.0	545.963459723096	927.5409062303336	51.54748775423013	3344
001072	2009	001072	2009	1619.275	2321.451779756094	14.0	631.5710000000001	987.704	70.886	3344
001072	2011	001072	2011	1343.4006938510793	2216.365366317793	10.6	463.3525154675259	880.0481783835534	27.932701605105397	3344
001072	2012	001072	2012	1700.3959968320253	1953.6831891323684	11.2	611.483702416095	1088.9122944159303	26.063360437204093	3344
001072	2013	001072	2013	1585.2335911692894	1971.2433627125954	10.8	577.475327766265	1007.7582634030244	46.17730975710478	3344
