ID	SEX	OCC	AGE	POB	HOURS	TERMS	COLLEGE	EARNMO	TOTEAR	COLYR	BOARD	DEP	PERIOD	BENESOC	INSUR	SAVINGS	IFDEBT	WHYDEBT	TEXTBK	OWNHM
1	1	1	30	10	6.00	15	2	50.00	127.50	-9.00	10.00	3	4	-9	2	-9	-9	-9	2	-9
2	1	3	33	10	4.00	24	2	112.00	1220.00	600.00	18.00	1	4	2	-9	2	-9	-9	2	2
3	1	1	33	10	6.00	12	-9	34.00	500.00	200.00	-9.00	4	4	2	2	2	-9	-9	2	-9
4	1	3	28	10	6.00	9	2	100.00	900.00	500.00	-9.00	2	4	-9	4	2	-9	-9	2	2
5	1	1	19	10	6.00	2	-9	33.33	100.00	150.00	10.00	1	4	-9	-9	-9	2	-9	2	-9
6	1	1	34	10	6.00	19	-9	30.00	175.00	-9.00	-9.00	3	4	-9	-9	2	-9	-9	2	2
7	1	1	38	10	6.00	19	-9	30.00	-9.00	240.00	12.00	6	4	-9	-9	-9	-9	-9	2	2
8	1	1	26	10	6.00	12	2	75.00	617.50	400.00	16.00	1	4	-9	-9	2	-9	-9	1	-9
9	1	1	21	10	6.00	-8	-9	34.50	-9.00	250.00	8.00	-9	4	-9	-9	-9	-9	-9	2	-9
10	1	1	22	10	6.00	2	-9	33.00	300.00	300.00	12.00	1	4	-9	-9	-9	-9	-9	2	-9
11	1	1	23	10	6.50	2	-9	40.00	150.00	50.00	8.00	3	4	-9	-9	2	-9	-9	2	-9
12	1	1	26	10	7.00	1	2	31.00	-9.00	300.00	-9.00	2	4	-9	-9	-9	-9	-9	2	-9
13	1	2	23	10	6.00	3	2	100.00	-9.00	-9.00	-9.00	3	4	-9	-9	-9	-9	-9	4	-9
14	1	1	20	10	6.00	2	-9	31.50	150.00	75.00	10.00	-9	4	2	-9	2	-9	-9	2	-9
15	1	1	35	10	6.00	35	-9	70.00	680.00	500.00	-9.00	3	4	2	2	2	-9	-9	1	-9
