age,race,years_educ,union_status,smsa_size,region,weekly_earn
55,1,12,2,1,4,750
57,1,16,2,1,4,690
30,3,12,2,1,4,240
34,1,18,2,1,4,800
31,1,16,2,1,4,999
32,1,18,2,1,4,750
39,3,17,2,1,4,240
55,3,12,1,1,4,440
39,1,12,2,1,4,999
52,3,0,2,2,4,420
32,1,12,2,1,4,360
28,1,16,2,1,4,999
31,1,18,1,1,4,530
33,1,13,1,1,4,480
46,3,0,2,1,4,210
55,1,16,2,1,4,850
45,1,15,2,1,4,830
34,1,14,2,1,4,596
30,1,14,2,1,4,563
42,1,14,2,1,4,625
49,1,18,2,1,4,500
27,1,12,2,1,4,700
35,1,16,2,1,4,999
30,1,12,1,1,4,439
40,3,12,2,1,4,462
32,1,12,2,1,4,480
26,3,13,2,1,4,625
33,1,16,2,1,4,910
51,3,11,2,1,4,150
48,1,12,2,2,4,360
34,1,13,2,1,4,605
38,1,17,2,1,4,999
31,3,18,2,1,4,375
46,3,10,2,1,4,204
52,1,11,2,2,4,700
36,1,16,2,1,4,405
39,1,18,1,1,4,962
32,3,9,2,1,4,210
57,1,12,2,1,4,999
51,1,16,2,2,4,999
47,1,12,2,1,4,560
29,1,12,1,1,4,400
33,1,18,2,1,4,600
63,3,12,2,1,4,400
34,1,18,2,1,4,800
44,1,16,2,1,4,750
26,1,13,2,1,4,588
22,3,2,2,1,4,200
59,1,12,2,1,4,800
24,1,11,2,1,4,350
48,3,12,1,1,4,563
55,1,12,2,1,4,400
35,1,12,2,1,4,520
49,1,18,1,1,4,617
26,1,12,2,1,4,400
39,1,12,2,1,4,360
39,1,12,2,1,4,300
37,3,10,2,1,4,480
52,3,12,2,1,4,400
40,1,16,1,1,4,480
31,1,14,2,1,4,300
37,1,14,2,1,4,280
38,1,16,2,1,4,694
58,1,12,1,2,4,560
51,2,16,1,1,4,850
51,1,16,2,1,4,520
32,1,15,1,1,4,600
28,3,13,2,2,4,600
60,1,16,2,1,4,619
30,1,16,1,1,4,240
62,3,12,1,1,4,400
64,1,18,2,1,4,999
42,1,16,2,1,4,923
34,1,16,2,1,4,450
32,1,12,2,1,4,280
33,1,16,2,2,4,440
47,1,15,2,1,4,600
28,1,12,2,1,4,250
31,1,12,2,1,4,250
46,1,18,2,1,4,846
50,1,14,2,1,4,803
33,1,16,1,1,4,520
30,1,12,1,1,4,596
46,1,12,2,1,4,450
44,1,12,2,2,4,400
22,1,12,2,1,4,150
64,2,16,1,1,4,720
37,1,15,1,3,4,704
28,1,15,2,1,4,200
34,3,12,2,1,4,300
42,1,16,2,1,4,608
32,1,18,2,1,4,577
22,3,12,1,1,4,200
35,1,16,1,1,4,675
45,2,14,2,2,4,680
33,1,14,2,1,4,999
54,1,18,2,1,4,999
59,1,18,2,1,4,999
36,1,16,2,1,4,600
31,1,16,2,1,4,451
30,1,14,2,1,4,500
53,3,8,1,1,4,440
24,3,14,2,1,4,440
38,1,15,1,1,4,576
44,1,14,1,1,4,360
34,1,13,2,1,4,689
37,1,12,2,2,4,150
42,1,14,2,1,4,400
33,1,16,2,1,4,475
42,1,18,2,1,4,999
63,1,12,1,1,4,400
33,1,14,2,1,4,600
40,1,18,2,1,4,260
35,1,13,2,2,4,419
40,2,14,2,1,4,999
43,1,12,2,1,4,583
33,1,12,2,1,4,609
54,1,9,1,1,4,480
34,3,2,2,1,4,134
26,3,2,2,1,4,350
51,1,16,2,1,4,900
35,1,18,2,1,4,800
24,3,11,2,2,4,302
33,1,18,2,1,4,800
26,1,12,1,1,4,440
40,1,16,2,1,4,999
34,2,16,2,1,4,300
49,1,14,2,2,4,600
36,3,12,2,1,4,193
27,1,12,2,2,4,270
29,1,16,2,1,4,950
40,1,12,2,1,4,280
36,1,12,2,2,4,270
26,1,14,1,3,1,270
51,1,18,2,1,1,690
39,1,18,2,1,1,999
34,2,12,2,1,1,200
37,1,12,2,1,1,440
44,1,12,1,2,1,350
22,1,12,2,2,1,174
29,1,12,1,2,1,340
26,1,13,1,3,1,483
31,1,16,2,1,1,500
45,1,8,1,3,1,388
52,1,12,2,1,1,400
36,1,16,2,2,1,999
48,1,18,2,1,1,999
56,1,12,1,2,1,414
25,1,12,2,2,1,300
43,1,12,2,2,1,480
52,1,18,2,1,1,550
38,1,16,2,2,1,400
58,3,12,1,1,1,750
40,1,12,2,2,1,340
22,1,15,2,1,1,105
41,1,12,2,2,1,480
28,1,17,2,1,1,700
57,1,12,1,1,1,500
37,1,12,2,2,1,350
42,1,13,2,1,1,999
22,2,12,1,1,1,250
52,1,12,2,2,1,305
26,1,16,2,2,1,500
28,2,12,2,1,1,450
58,1,10,1,1,1,560
30,1,16,1,1,1,385
47,1,8,1,2,1,760
38,1,14,1,1,1,560
41,2,14,1,1,1,420
26,1,16,2,1,1,307
38,1,16,2,1,1,999
40,2,14,2,1,1,315
63,1,9,1,2,1,300
53,1,12,2,1,1,999
59,1,12,1,2,1,250
58,1,16,2,2,1,865
30,1,14,2,2,1,651
43,1,16,1,2,1,510
54,1,4,2,3,1,60
38,1,12,1,2,1,500
46,1,18,2,2,1,575
52,1,12,2,1,1,999
36,1,14,2,2,1,494
30,2,14,1,1,1,500
44,1,18,1,2,1,700
33,1,16,2,2,1,440
26,1,14,1,1,1,600
46,3,14,2,1,1,425
31,1,12,1,2,1,600
61,1,10,2,2,1,320
37,1,12,1,2,1,480
49,1,12,1,1,1,500
36,1,12,1,2,1,340
24,1,16,2,2,1,471
38,1,16,2,1,1,999
25,1,10,1,1,1,450
40,1,18,2,1,1,682
25,1,15,1,1,1,245
60,1,12,1,1,1,440
37,2,16,2,1,1,300
47,1,12,2,1,1,550
31,1,18,2,1,1,450
59,3,10,2,1,1,500
36,1,16,1,3,1,400
27,1,18,2,1,1,999
39,1,18,2,1,1,865
25,1,9,2,3,1,180
60,1,12,1,1,1,500
40,1,12,2,1,1,650
46,3,14,1,1,1,673
41,1,12,1,3,1,481
29,1,12,1,1,1,500
35,3,12,2,1,1,200
30,1,12,2,2,1,220
40,1,18,2,2,1,788
41,1,12,2,1,1,336
41,1,14,1,1,1,600
23,1,16,2,1,1,444
23,1,13,2,1,1,500
32,1,18,1,1,1,600
43,1,12,1,1,1,900
28,1,16,2,1,1,840
43,1,12,2,1,1,700
32,1,12,2,1,1,900
53,1,12,1,2,1,513
49,1,16,2,1,1,268
38,2,18,2,1,1,650
23,1,10,2,2,1,160
29,1,13,2,1,1,999
35,1,12,2,1,1,600
28,1,16,1,1,1,400
60,2,7,2,1,1,250
40,1,12,2,1,1,612
49,1,12,2,2,1,750
31,1,12,2,2,1,500
28,1,12,2,3,1,240
42,1,12,2,3,1,550
62,1,16,2,1,1,960
53,1,18,1,3,1,580
36,1,13,1,2,1,700
23,1,12,2,1,1,400
48,1,4,2,1,1,250
25,1,10,2,1,1,150
26,3,12,2,1,1,260
23,3,12,2,1,1,220
59,1,8,1,1,1,606
28,3,8,2,1,1,200
51,1,12,1,1,1,380
58,1,12,2,3,1,500
48,1,12,2,1,1,500
40,1,8,2,1,3,480
50,1,18,2,1,3,999
21,1,14,2,1,3,63
36,3,12,1,1,3,460
42,1,14,2,1,3,300
56,1,9,2,1,3,962
24,1,16,2,2,3,405
44,1,14,2,1,3,520
27,1,12,2,2,3,600
39,1,18,2,2,3,840
45,1,9,2,1,3,188
28,3,16,2,3,3,400
44,1,18,2,1,3,999
21,1,12,2,1,3,293
29,1,12,2,3,3,200
30,3,4,2,1,3,234
37,1,16,2,1,3,808
25,1,12,2,1,3,380
21,1,14,2,2,3,320
33,1,11,2,1,3,158
64,1,12,2,2,3,200
36,1,14,2,2,3,750
31,1,18,2,1,3,440
46,3,6,2,2,3,160
26,1,16,2,3,3,725
36,1,16,2,2,3,500
57,1,12,2,3,3,300
57,3,6,2,2,3,210
44,3,12,2,2,3,176
34,1,12,2,2,3,673
36,1,12,1,3,3,504
32,1,12,2,1,3,650
27,1,12,2,1,3,400
36,1,14,1,2,3,580
48,3,3,2,1,3,240
34,2,12,2,2,3,240
37,1,12,2,1,3,200
32,1,18,2,1,3,625
25,1,12,2,2,3,520
28,3,6,2,1,3,220
30,1,16,2,1,3,999
29,1,14,2,2,3,250
34,1,16,2,1,3,999
52,3,10,2,2,3,700
52,1,16,2,3,3,768
26,1,14,2,1,3,500
25,3,11,2,3,3,261
32,1,12,2,3,3,320
25,1,13,2,3,3,556
26,3,10,2,2,3,144
57,1,13,2,2,3,890
50,3,1,2,2,3,134
25,2,12,2,3,3,286
35,1,18,2,2,3,800
32,1,14,2,2,3,450
32,3,12,2,2,3,280
24,1,12,2,3,3,213
43,2,12,2,3,3,480
42,3,4,2,2,3,134
42,1,16,1,3,3,500
54,3,17,2,2,3,400
47,1,12,2,1,3,450
28,1,12,2,3,3,220
27,1,12,2,2,3,450
64,3,5,2,1,3,299
30,3,0,2,1,3,200
26,1,13,2,2,3,101
58,3,14,2,2,3,242
59,1,12,2,2,3,500
60,1,8,2,3,3,342
38,1,11,2,3,3,480
57,3,12,2,2,3,600
31,3,16,2,2,3,356
37,3,6,2,2,3,312
35,3,6,2,3,3,220
38,1,18,2,1,3,530
40,2,12,2,2,3,620
47,1,10,2,1,3,600
42,1,15,2,3,3,256
37,1,13,2,1,3,440
29,1,14,2,3,3,686
43,1,13,2,1,3,500
43,2,12,2,1,3,520
44,1,12,2,3,3,600
28,1,12,2,2,3,425
56,3,0,2,3,3,210
54,1,18,2,3,1,500
32,1,12,1,3,1,400
28,1,16,2,1,1,307
23,1,12,2,1,1,180
37,1,12,2,1,1,446
43,1,16,2,1,1,999
60,2,7,2,2,1,200
33,1,16,2,1,1,900
53,1,12,1,3,1,480
42,1,12,2,1,1,370
30,1,12,2,3,1,375
30,1,12,1,1,1,360
21,1,11,2,2,1,100
49,1,12,1,2,1,680
28,1,11,2,2,1,298
41,1,13,2,2,1,250
23,1,13,2,2,1,475
43,1,12,1,1,1,312
35,1,10,2,1,1,400
46,1,17,2,1,1,700
46,1,17,2,3,1,692
62,1,9,2,3,1,388
40,1,16,1,2,1,475
23,1,10,2,2,1,172
26,1,14,1,2,1,341
42,1,12,1,2,1,408
44,1,16,2,1,1,999
52,1,18,2,1,1,700
48,1,12,2,1,1,400
33,1,11,2,3,1,175
28,1,16,2,1,1,200
33,1,16,2,2,1,342
36,1,12,1,3,1,475
55,1,11,2,3,1,330
23,1,12,1,1,1,360
61,1,12,1,1,1,548
27,1,16,2,1,1,423
60,1,17,2,1,1,350
29,1,12,2,2,1,320
41,1,12,1,2,1,583
54,1,12,2,2,1,600
45,1,11,2,2,1,456
50,1,8,2,1,1,401
52,1,12,2,2,1,800
28,1,12,2,3,1,247
40,1,11,2,3,1,400
56,1,12,1,2,1,400
58,2,10,2,2,1,320
44,1,16,2,2,1,475
50,1,12,2,2,1,260
21,1,12,2,2,1,220
36,1,18,2,1,1,302
54,1,8,2,3,1,560
24,1,12,2,3,1,313
24,1,12,1,1,1,194
22,3,12,2,1,1,600
56,1,18,1,3,1,590
53,1,12,2,1,1,605
41,1,16,2,1,1,999
36,1,13,2,1,1,320
38,1,18,2,1,1,744
30,1,12,2,1,1,250
61,1,12,2,2,1,400
24,1,12,2,1,1,250
47,1,12,1,2,1,691
23,1,16,2,1,1,415
43,1,16,2,1,2,999
43,3,12,2,3,2,480
26,1,12,2,3,2,280
60,1,12,2,1,2,388
51,1,15,2,1,2,577
42,1,11,2,1,2,418
60,2,16,1,1,2,554
34,1,13,1,3,2,409
40,1,15,2,1,2,999
39,1,16,2,1,2,999
61,1,12,2,1,2,423
42,1,12,2,1,2,300
43,1,11,1,2,2,560
39,1,18,2,1,2,500
52,1,18,2,1,2,999
44,1,12,1,2,2,720
28,1,11,2,2,2,131
51,1,18,2,1,2,999
35,1,16,2,1,2,800
35,3,6,1,1,2,160
54,1,12,1,3,2,450
24,2,14,2,1,2,320
32,1,8,2,1,2,250
34,1,13,2,1,2,360
33,2,12,2,1,2,400
60,1,8,1,1,2,768
39,1,12,1,2,2,480
31,2,12,2,1,2,184
49,1,17,2,1,2,500
27,2,15,2,1,2,440
41,1,12,1,2,2,430
39,1,16,2,1,2,950
23,1,10,2,1,2,280
26,1,13,2,1,2,400
48,1,18,2,1,2,750
46,1,16,2,2,2,999
27,1,10,1,2,2,270
23,1,12,1,1,2,480
60,3,5,2,1,2,769
30,1,12,1,2,2,398
26,1,16,2,1,2,600
42,1,18,2,1,2,865
36,1,14,2,3,2,420
36,1,12,2,1,2,300
30,1,16,1,1,2,950
44,1,16,2,1,2,999
39,1,17,1,1,2,827
55,1,9,1,3,2,300
48,1,12,1,3,2,999
25,1,14,2,2,2,280
37,1,18,2,1,2,875
47,1,12,2,1,2,600
38,1,14,1,1,2,425
31,1,13,2,1,2,320
40,2,13,2,1,2,375
21,3,14,2,1,2,150
59,2,12,2,1,2,500
30,1,8,1,1,2,500
35,1,15,1,3,2,800
56,1,14,2,2,2,640
47,1,12,1,2,2,550
30,1,16,2,3,2,500
42,1,12,1,1,2,440
33,1,12,1,1,2,590
26,2,15,1,1,2,218
40,2,16,1,1,2,520
30,1,16,2,1,2,999
55,1,12,1,1,2,320
50,1,12,2,1,2,500
58,1,12,2,3,2,650
38,1,12,2,2,2,500
26,1,12,2,2,2,340
32,1,12,2,2,2,580
43,1,17,2,2,2,700
23,1,12,2,3,2,200
47,1,12,1,2,2,800
30,1,12,1,1,2,693
40,1,12,1,1,2,601
33,2,10,2,1,2,500
49,1,16,2,2,2,673
29,1,12,2,1,2,310
23,1,12,2,2,2,280
28,1,16,2,2,2,350
39,1,12,1,2,2,602
24,1,13,2,2,2,160
60,1,8,1,3,2,583
49,1,15,1,1,2,999
24,2,12,2,2,2,280
41,1,12,2,2,2,300
35,1,12,1,2,2,400
27,1,12,2,3,2,160
29,1,12,1,2,2,314
34,1,16,1,2,2,779
33,2,10,2,1,2,134
33,1,13,2,3,2,400
60,1,16,2,2,2,700
43,1,12,1,2,2,540
29,1,14,2,1,2,615
32,1,12,2,2,2,552
30,1,12,1,3,2,520
28,1,12,2,2,2,338
27,1,16,2,2,2,635
35,1,18,2,3,2,500
32,2,12,2,2,2,300
38,2,18,1,2,2,170
63,1,10,1,1,2,418
25,1,12,2,2,2,220
36,1,14,2,3,2,592
61,1,15,2,2,2,999
64,1,14,2,1,2,600
49,1,12,1,2,2,524
52,1,12,2,2,2,999
30,1,13,2,2,2,650
52,1,18,2,1,2,500
26,1,12,2,2,2,228
34,1,16,1,1,2,625
46,1,12,1,3,2,576
51,1,12,1,2,2,807
58,1,9,2,2,2,200
29,1,10,2,3,2,200
41,1,16,2,2,2,999
29,1,12,2,3,2,320
45,1,12,2,1,2,570
40,1,12,1,1,2,540
30,1,12,2,2,2,200
44,1,15,1,2,2,520
63,1,14,2,2,2,325
24,1,12,2,3,2,180
28,1,13,2,1,2,275
57,1,11,1,3,2,440
32,1,18,2,1,2,500
32,1,14,1,2,2,474
40,1,12,2,3,2,511
41,1,15,2,1,2,800
47,1,12,2,3,2,438
23,1,12,2,3,2,220
22,2,14,2,2,2,204
39,2,12,1,2,2,480
53,1,8,2,2,2,400
41,1,18,2,3,2,675
54,1,14,2,2,3,250
47,3,8,2,1,3,264
36,2,12,1,1,3,183
32,1,12,2,2,3,220
37,1,10,2,2,3,544
52,3,14,2,2,3,168
33,1,12,2,2,3,999
55,1,16,2,1,3,675
24,1,12,2,1,3,450
42,1,12,2,2,3,768
35,1,12,2,2,3,400
50,1,12,2,2,3,320
49,1,16,2,2,3,500
31,1,12,1,2,3,550
43,1,12,2,2,3,620
48,1,15,2,3,3,400
23,1,12,1,2,3,336
32,1,14,2,2,3,175
33,3,12,2,1,3,449
54,1,14,1,2,3,540
29,2,12,2,3,3,160
63,1,16,2,2,3,999
53,2,10,2,2,3,350
43,1,17,2,2,3,999
27,1,12,2,2,3,280
56,1,16,2,2,3,400
23,1,17,2,2,3,200
58,3,12,2,1,3,134
36,1,18,2,2,3,400
25,1,12,2,2,3,200
25,1,12,2,2,3,225
53,1,16,2,2,3,800
35,1,18,2,2,3,340
44,3,8,2,1,3,300
37,1,13,2,3,3,398
26,1,12,2,2,3,152
23,1,12,1,1,3,200
52,1,12,2,2,3,770
56,1,13,2,2,3,500
21,1,12,2,2,3,180
30,1,10,2,1,3,350
57,1,12,2,2,3,750
25,1,18,2,1,3,500
26,1,16,2,2,3,575
26,1,18,2,2,3,370
34,1,14,2,2,3,500
34,1,16,2,1,3,750
64,1,12,2,2,3,128
52,1,10,2,2,3,240
26,1,9,2,2,3,220
40,3,12,2,1,3,300
49,1,12,2,2,3,480
26,1,17,2,1,3,550
32,1,12,2,1,3,600
25,3,12,2,1,3,500
34,1,12,1,2,3,360
49,1,12,2,2,3,300
35,1,18,2,2,3,538
29,2,13,2,3,3,210
32,1,12,2,1,3,300
30,1,12,2,2,3,300
59,2,13,1,2,3,400
40,1,13,2,1,3,875
33,1,13,2,2,3,400
37,1,10,2,2,3,300
25,2,11,2,3,3,320
29,1,11,2,2,3,240
31,2,9,2,2,3,250
45,1,16,1,1,3,858
45,1,12,2,1,2,600
48,1,12,1,1,2,605
36,1,12,1,2,2,400
34,1,16,2,2,2,100
32,1,10,2,1,2,475
31,1,12,2,2,2,180
36,1,16,1,2,2,647
29,1,12,1,1,2,500
50,1,12,1,1,2,480
25,1,12,2,3,2,405
46,1,12,2,1,2,328
32,1,14,2,1,2,692
28,1,14,1,2,2,296
49,1,8,1,2,2,463
21,1,9,2,3,2,140
28,1,12,2,1,2,315
29,1,10,1,1,2,560
58,1,12,2,3,2,480
38,1,16,1,1,2,600
23,1,12,2,1,2,450
30,2,15,2,1,2,396
35,1,12,2,1,2,280
21,1,12,2,1,2,240
29,1,14,1,2,2,480
44,1,12,2,3,2,350
49,1,12,1,1,2,840
31,1,12,1,1,2,800
32,2,16,2,1,2,425
42,1,16,2,1,2,600
33,1,13,2,3,2,440
23,1,12,2,1,2,245
41,1,12,1,2,2,539
34,1,12,1,1,2,480
42,1,11,1,1,2,900
28,1,12,1,1,2,480
54,1,9,2,2,2,298
64,1,16,2,1,2,820
34,3,12,1,2,2,480
26,1,12,2,1,2,214
26,1,16,2,2,2,378
33,1,12,1,1,2,679
25,1,13,2,3,2,276
45,1,16,1,2,2,560
21,1,8,2,2,2,172
36,1,12,1,3,2,400
26,2,14,2,1,2,184
58,1,14,2,2,2,400
23,1,12,2,3,2,275
27,1,12,2,1,2,340
34,1,12,2,1,2,384
23,2,14,2,1,2,162
53,1,16,2,2,2,900
40,1,13,1,1,2,620
54,1,10,1,2,2,584
46,1,12,2,3,2,850
31,1,16,2,2,2,612
37,1,18,2,3,2,500
43,2,15,1,2,2,674
25,1,14,2,1,2,700
35,1,12,2,3,2,420
22,1,9,1,3,2,430
45,1,12,2,3,2,999
21,2,12,1,2,2,381
30,1,12,1,2,2,560
32,1,12,2,1,1,332
42,1,18,2,1,1,999
31,1,15,2,1,1,999
54,1,12,2,1,1,600
24,1,14,1,3,1,350
32,3,11,2,1,1,280
44,1,12,2,1,1,600
35,1,16,2,1,1,560
28,1,12,1,1,1,540
28,1,15,2,1,1,600
23,1,14,2,1,1,360
53,1,12,1,1,1,825
33,1,14,2,1,1,800
